speed,flag,x_antp,x_atualp,y_pred,ypred_virtual,Y_virtual_0,Y_virtual_1,time_teda,time_rls_filter_1,time_rls_filter_2,time_rls_update_1
62,0,64,62,63.009964,65.079514,64.036377,65.079514,88,24,52,44
58,0,62,58,58.903637,60.753365,59.821350,60.753365,88,24,53,42
52,0,58,52,52.762886,54.322392,53.536961,54.322392,88,28,53,42
45,0,52,45,45.619102,46.882977,46.246723,46.882977,80,24,53,46
38,0,45,38,38.493347,39.499340,38.993099,39.499340,84,24,53,46
31,0,38,31,31.382475,32.161640,31.769669,32.161640,84,28,53,42
23,0,31,23,23.270172,23.820076,23.543518,23.820076,88,24,52,44
13,1,23,23.543518,23.543518,24.099882,23.820076,24.099882,88,24,61,39
16,0,23.270172,16,16.181463,16.550587,16.364985,16.550587,88,28,53,42
23,0,16,23,23.266693,23.809393,23.536478,23.809393,80,24,53,46
31,0,23,31,31.372395,32.130657,31.749262,32.130657,84,24,53,44
38,0,31,38,38.474922,39.442642,38.955776,39.442642,84,28,53,42
44,0,38,44,44.571815,45.737839,45.151062,45.737839,88,24,53,42
47,0,44,47,47.622738,48.893078,48.253727,48.893078,87,24,53,42
51,0,47,51,51.694981,53.113480,52.399429,53.113480,88,28,53,42
55,0,51,55,55.771492,57.347092,56.553806,57.347092,80,24,53,46
58,0,55,58,58.830387,60.527000,59.672665,60.527000,88,24,52,46
61,0,58,61,61.891403,63.713474,62.795830,63.713474,80,28,53,42
63,0,61,63,63.930588,65.833206,64.874924,65.833206,87,24,52,37
64,0,63,64,64.946007,66.880180,65.905998,66.880180,88,24,53,42
65,0,64,65,65.961304,67.926781,66.936829,67.926781,80,28,53,46
66,0,65,66,66.976471,68.972977,67.967392,68.972977,84,24,53,42
65,0,66,65,65.942543,67.868820,66.898750,67.868820,84,24,53,44
61,0,65,61,61.840717,63.557076,62.693024,63.557076,84,28,53,44
55,0,61,55,55.707100,57.148689,56.423290,57.148689,84,24,53,42
48,0,55,48,48.572182,49.737087,49.151184,49.737087,88,24,53,44
40,0,48,40,40.440544,41.336243,40.885941,41.336243,84,28,52,46
30,0,40,30,30.302757,30.917469,30.608570,30.917469,84,24,53,46
20,0,30,20,20.188133,20.569727,20.378036,20.569727,84,24,53,46
20,0,20,20,20.187967,20.569218,20.377701,20.569218,80,28,53,42
25,0,20,25,25.240377,25.728086,25.483065,25.728086,84,24,53,42
31,0,25,31,31.308193,31.933800,31.619450,31.933800,92,24,52,46
36,0,31,36,36.369858,37.121010,36.743515,37.121010,84,28,53,46
40,0,36,40,40.422943,41.282299,40.850361,41.282299,88,24,53,44
43,0,40,43,43.464870,44.409748,43.934769,44.409748,80,24,53,44
44,0,43,44,44.478016,45.449688,44.961227,45.449688,83,29,53,44
43,0,44,43,43.460693,44.396942,43.926323,44.396942,84,24,53,42
41,0,43,41,41.429234,42.301228,41.862961,42.301228,92,24,52,46
42,0,41,42,42.441978,43.339943,42.888611,43.339943,84,28,53,46
43,0,42,43,43.454842,44.379005,43.914494,44.379005,88,24,53,42
43,0,43,43,43.452881,44.373005,43.910534,44.373005,80,24,53,44
44,0,43,44,44.465828,45.412331,44.936588,45.412331,84,28,53,42
46,0,44,46,46.494240,47.498707,46.993790,47.498707,87,24,52,46
48,0,46,48,48.523483,49.587635,49.052673,49.587635,84,24,53,42
48,0,48,48,48.520668,49.579006,49.046982,49.579006,88,28,53,42
49,0,48,49,49.534142,50.619953,50.074104,50.619953,80,24,53,46
52,0,49,52,52.581474,53.764000,53.169449,53.764000,84,24,53,44
53,0,52,53,53.595333,54.806137,54.197353,54.806137,84,28,53,42
55,0,53,55,55.627289,56.903408,56.261730,56.903408,88,24,52,42
57,0,55,57,57.660034,59.003117,58.327709,59.003117,88,24,53,42
58,0,57,58,58.674198,60.046196,59.356232,60.046196,87,29,53,42
59,0,58,59,59.688374,61.089314,60.384781,61.089314,80,24,53,46
60,0,59,60,60.702553,62.132431,61.413330,62.132431,84,24,53,46
61,0,60,61,61.716721,63.175522,62.441860,63.175522,84,28,53,42
59,0,61,59,59.671265,61.036789,60.350166,61.036789,88,24,53,42
55,0,59,55,55.591923,56.794949,56.190216,56.794949,88,24,53,42
51,0,55,51,51.520256,52.576744,52.045818,52.576744,88,28,53,42
47,0,51,47,47.455437,48.379593,47.915287,48.379593,80,24,53,46
44,0,47,44,44.410542,45.243153,44.824913,45.243153,84,24,53,37
36,0,44,36,36.306370,36.926949,36.615345,36.926949,84,28,53,42
27,0,36,27,27.209669,27.633905,27.420967,27.633905,87,24,53,44
19,0,27,19,19.138132,19.417416,19.277267,19.417416,88,24,53,42
16,1,19,19.277267,19.277267,19.558582,19.417416,19.558582,88,29,61,44
20,0,19.138132,20,20.146030,20.441301,20.293129,20.441301,79,24,53,37
26,0,20,26,26.196812,26.594915,26.395113,26.594915,84,24,52,46
32,0,26,32,32.253372,32.766151,32.508751,32.766151,84,28,53,42
37,0,32,37,37.306007,37.925640,37.614548,37.925640,88,24,53,42
43,0,37,43,43.376755,44.140202,43.756813,44.140202,88,24,53,42
47,0,43,47,47.428921,48.298538,47.861755,48.298538,84,29,53,42
52,0,47,52,52.500679,53.516541,53.006176,53.516541,84,24,53,46
56,0,52,56,56.562988,57.706005,57.131638,57.706005,83,24,52,37
59,0,56,59,59.611889,60.854767,60.230122,60.854767,84,28,53,42
61,0,59,61,61.644192,62.953053,62.295185,62.953053,88,24,53,42
62,0,61,62,62.657848,63.994560,63.322678,63.994560,144,24,53,37
62,0,62,62,62.652077,63.976875,63.311012,63.976875,84,28,53,46
62,0,62,62,62.646400,63.959492,63.299541,63.959492,84,24,53,44
62,0,62,62,62.640812,63.942375,63.288246,63.942375,84,24,53,37
60,0,62,60,60.598213,61.812588,61.202389,61.812588,84,28,53,44
56,0,60,56,56.524071,57.586971,57.053047,57.586971,103,24,52,37
52,0,56,52,52.457565,53.384808,52.919155,53.384808,92,24,53,46
47,0,52,47,47.384220,48.162106,47.771580,48.162106,84,28,52,44
39,0,47,39,39.285030,39.861355,39.572144,39.861355,88,24,53,42
29,0,39,29,29.186325,29.562576,29.373848,29.562576,80,24,53,44
19,0,29,19,19.109653,19.330864,19.219940,19.330864,84,28,53,44
17,0,19,17,17.096592,17.291426,17.193733,17.291426,84,24,53,42
22,0,17,22,22.129124,22.389648,22.259005,22.389648,92,24,52,46
29,0,22,29,29.180147,29.543806,29.361414,29.543806,84,28,53,46
35,0,29,35,35.230907,35.697308,35.463341,35.697308,88,24,53,42
41,0,35,41,41.289497,41.874638,41.581039,41.874638,80,24,53,44
45,0,41,45,45.333508,46.007954,45.669487,46.007954,84,28,53,44
48,0,45,48,48.369026,49.115612,48.740891,49.115612,84,24,53,42
50,0,48,50,50.393433,51.189606,50.789959,51.189606,92,24,52,46
52,0,50,52,52.418797,53.266533,52.840965,53.266533,84,28,52,46
53,0,52,53,53.430534,54.302124,53.864567,54.302124,88,24,53,42
55,0,53,55,55.457272,56.383247,55.918343,56.383247,80,24,53,44
57,0,55,57,57.484955,58.467274,57.974033,58.467274,84,28,53,42
