"Name","Threshold","FlagCorrection","N_outlier_max","Window","Forecasting","n_Epochs","n_Units","Energy_Consumed","accuracy","f1_score","recall","rmse_lstm_pred","mae_pred","mae_max","mae_mean","mae_min","rmse_max","rmse_mean","rmse_min"
"volcanic-sweep-488","1.2","false","1","2","2","100","50","0.000022492075455434765","0.8974358974358975","0.6363636363636364","1","28.91854323487328","23.40138084415584","23.40138084415584","23.058233290714412","22.71508573727298","28.91854323487328","28.813150168007045","28.70775710114081"
"sandy-sweep-709","1.2","false","2","3","3","100","10","0.000019512164293857824","0.935897435897436","0.7368421052631579","1","22.472948916506137","13.265434694443742","15.717757270317568","14.44527166837882","13.265434694443742","23.967790859959884","23.1581967019966","22.472948916506137"
"icy-sweep-714","1.2","false","2","3","3","200","100","0.000026265810878010778","0.935897435897436","0.7368421052631579","1","22.723169030967533","12.708923906281708","16.08703805232853","13.972853343405456","12.708923906281708","24.752858601161694","23.32596207576937","22.501858595178895"
"misty-sweep-933","1.2","false","3","4","4","100","100","0.000019722009107605727","0.9102564102564102","0.6666666666666666","1","23.620091472797927","13.880873296088676","14.94115075326895","14.404195062771093","13.880873296088676","24.70374940937195","24.26404805059312","23.620091472797927"
"confused-sweep-828","1.2","false","1","4","4","200","100","0.000018759513350176527","0.9102564102564102","0.6666666666666666","1","24.30838374848993","13.714843438799967","14.657923018814683","14.230828738958186","13.714843438799967","24.498435684707072","23.91851098410575","23.417520861318255"
"likely-sweep-111","1.2","true","3","2","2","100","100","0.00001730018685889945","0.8974358974358975","0.6363636363636364","1","29.42801198337751","23.736816339903992","23.736816339903992","23.268883474652178","22.800950609400363","29.42801198337751","29.145782667222637","28.863553351067765"
"floral-sweep-449","1.2","true","3","4","4","200","50","0.000018937767233556745","0.9102564102564102","0.6666666666666666","1","25.241304039632222","15.428667523510423","15.428667523510423","14.672580666737742","14.123382497653717","25.261145649941547","24.57419033592189","23.701927610970408"
"serene-sweep-126","1.2","true","3","4","2","200","100","0.00001790141542340633","0.8974358974358975","0.6363636363636364","1","26.04766842210305","15.16395717519785","15.621788605449732","15.39287289032379","15.16395717519785","26.04766842210305","25.539167225531333","25.030666028959615"
"silver-sweep-55","1.2","true","2","2","2","100","10","0.000017461062023289744","0.8974358974358975","0.6363636363636364","1","23.27515292434085","14.737753615976308","16.730875112241275","15.73431436410879","14.737753615976308","25.068397318248564","24.171775121294708","23.27515292434085"
"major-sweep-437","1.2","true","3","2","4","200","50","0.00001815547522842533","0.9102564102564102","0.6666666666666666","1","23.565166978136233","13.767104752339945","15.894271854866329","14.724377184503728","13.767104752339945","24.4454012245585","23.8145061136965","23.378524373002584"
"serene-sweep-447","1.2","true","3","4","4","100","100","0.000018616730650319624","0.9102564102564102","0.6666666666666666","1","23.97619942609095","14.259147798771052","16.486863932661578","15.23185321470979","13.895035370348648","25.281795926897335","24.46574491011306","23.97619942609095"
"sweepy-sweep-287","1.2","true","3","4","3","200","50","0.000017682814515035894","0.935897435897436","0.7368421052631579","1","24.06300425527111","13.75955443234134","14.526206032730697","14.208993732429272","13.75955443234134","25.426140554611347","24.84833747305153","24.06300425527111"
"dazzling-sweep-217","1.2","true","2","2","3","100","10","0.000018005548734802234","0.935897435897436","0.7368421052631579","1","22.946513036819475","14.296909799392502","17.968488796323303","15.912332371831456","14.296909799392502","25.814208803160373","24.32047377845771","22.946513036819475"
"true-sweep-281","1.2","true","3","3","3","200","50","0.0000177315094475187","0.935897435897436","0.7368421052631579","1","22.102155952784106","13.0222373972707","13.968931610979348","13.312117495952124","12.945183479606332","23.683574998815043","22.947362940093985","22.102155952784106"
"lilac-sweep-487","1.2","false","1","2","2","100","10","0.000018471204905672745","0.8974358974358975","0.6363636363636364","1","24.336281292618185","16.067331966092986","16.157745813305343","16.112538889699167","16.067331966092986","24.719519492097973","24.527900392358077","24.336281292618185"
"dry-sweep-821","1.2","false","1","3","4","200","50","0.000018975631285939397","0.9102564102564102","0.6666666666666666","1","21.57976817791378","10.9942920722466","14.148409712833551","12.249395354947175","10.9942920722466","23.44869621224931","22.142805490715872","21.57976817791378"
"clean-sweep-394","1.2","true","2","4","4","200","10","0.00001855629663291072","0.9102564102564102","0.6666666666666666","1","25.822317743346066","16.042950919807733","16.086120034116277","14.867571501060588","12.64606356930423","25.822317743346066","24.34618588081063","22.775444007562974"
"worldly-sweep-176","1.2","true","1","4","3","100","50","0.000017729021355379978","0.935897435897436","0.7368421052631579","1","22.46834804804534","12.293669217275644","14.872618838619877","13.485451758869386","12.293669217275644","26.001197185854892","23.867329419642843","22.46834804804534"
"light-sweep-177","1.2","true","1","4","3","100","100","0.000017888405670848895","0.935897435897436","0.7368421052631579","1","24.36610585302092","15.116093131483998","15.4082299295797","14.598065367463349","13.269873041326347","25.832448449010503","24.417498885389847","23.053942354138112"
