"Name","Threshold","FlagCorrection","N_outlier_max","Window","Forecasting","n_neighbors","weights","Energy_Consumed","accuracy","f1_score","recall","rmse_knn_pred","rmse_max","rmse_mean","rmse_min","mae_pred","mae_max","mae_mean","mae_min"
"apricot-sweep-281","1.2","true","3","3","3","15","uniform","1.6457040052349232e-7","0.935897435897436","0.7368421052631579","1","24.309909114953452","25.55777236768544","24.94983618641379","24.309909114953452","14.687208398268396","17.188801471861474","16.340745382395383","14.687208398268396"
"curious-sweep-931","1.2","false","3","4","4","5","uniform","1.687417945042095e-7","0.9102564102564102","0.6666666666666666","1","25.188651163775813","25.188651163775813","24.84334291015465","24.36623456762116","15.94335766233766","16.043025714285715","15.666524610389608","15.290611818181818"
"dulcet-sweep-874","1.2","false","2","3","4","10","distance","1.9661764161393577e-7","0.9102564102564102","0.6666666666666666","1","25.366394537283806","25.372519229696017","24.46853447662878","23.48639141994417","15.467330094403192","15.593201179912556","15.064076090953884","14.524490726819115"
"celestial-sweep-232","1.2","true","2","4","3","10","distance","1.9838592767301737e-7","0.935897435897436","0.7368421052631579","1","23.517840328044436","23.517840328044436","23.1887316383428","22.9137456152586","14.613651698789496","14.613651698789496","14.009171958552024","13.167669901171182"
"dulcet-sweep-393","1.2","true","2","4","4","10","uniform","1.650321822331888e-7","0.9102564102564102","0.6666666666666666","1","22.693283202491425","23.776714795825143","23.257754345774256","22.693283202491425","13.929739220779222","14.485607792207796","14.126258409090912","13.929739220779222"
"effortless-sweep-919","1.2","false","3","2","4","5","uniform","1.9769888659273726e-7","0.9102564102564102","0.6666666666666666","1","26.84534086101595","26.84534086101595","26.417763630293685","25.917357332859098","16.43024675324675","18.923999090909092","17.936191266233767","16.43024675324675"
"dauntless-sweep-812","1.2","false","1","2","4","5","distance","2.384667370434575e-7","0.9102564102564102","0.6666666666666666","1","24.691716302955715","28.31779928807356","26.02973920545258","24.691716302955715","14.892722590860464","19.735698226508777","17.463328654330905","14.892722590860464"
"earthy-sweep-498","1.2","false","1","3","2","15","distance","2.728099439894373e-7","0.8974358974358975","0.6363636363636364","1","25.123147417405573","25.123147417405573","24.81275190560932","24.502356393813063","15.0526550715054","16.27580543355573","15.664230252530563","15.0526550715054"
"noble-sweep-271","1.2","true","3","2","3","5","uniform","1.545627410321989e-7","0.935897435897436","0.7368421052631579","1","26.53583751219055","27.474046967431793","26.873931989633903","26.53583751219055","16.14012155844156","19.72843467532468","18.18211891774892","16.14012155844156"
"wild-sweep-63","1.2","true","2","3","2","10","uniform","1.588918165723246e-7","0.8974358974358975","0.6363636363636364","1","23.980370355097783","23.980370355097783","23.75454900124599","23.528727647394195","14.903578961038964","15.27849220779221","15.091035584415586","14.903578961038964"
"radiant-sweep-443","1.2","true","3","3","4","15","uniform","1.9679887301663258e-7","0.9102564102564102","0.6666666666666666","1","24.129290356444944","25.948761019332387","24.69381378055718","23.75722411960132","14.499158831168833","17.79207640692641","16.082079891774896","14.499158831168833"
"laced-sweep-824","1.2","false","1","4","4","5","distance","1.943548088458e-7","0.9102564102564102","0.6666666666666666","1","26.533734591299712","26.533734591299712","25.64846455797077","24.76392484764704","16.685628098719445","16.7561399372257","16.490164934970743","16.216950792571556"
"skilled-sweep-825","1.2","false","1","4","4","10","uniform","1.9216979295113866e-7","0.9102564102564102","0.6666666666666666","1","23.04981500473142","23.84323487041049","23.389181121023004","23.04981500473142","14.14403220779221","14.584724220779226","14.260759610389613","14.117905064935066"
"fragrant-sweep-16","1.2","true","1","4","2","10","distance","1.9321100362225886e-7","0.8974358974358975","0.6363636363636364","1","24.257450619541956","24.257450619541956","23.7818949975483","23.30633937555464","15.11174902793564","15.11174902793564","14.97612694344099","14.84050485894634"
"soft-sweep-167","1.2","true","1","2","3","15","uniform","1.7970680632048349e-7","0.935897435897436","0.7368421052631579","1","24.506318279703187","25.56796045855936","24.865057324959476","24.506318279703187","13.690328311688312","17.755612770562767","15.740396406926408","13.690328311688312"
"lively-sweep-815","1.2","false","1","2","4","15","uniform","1.656658215472362e-7","0.9102564102564102","0.6666666666666666","1","23.957844235705604","25.706828196203126","24.80982949875061","23.957844235705604","13.936080606060608","17.654606450216452","16.07502800865801","13.936080606060608"
"fluent-sweep-664","1.2","false","1","4","3","10","distance","1.8653701956370446e-7","0.935897435897436","0.7368421052631579","1","24.060023304581335","24.060023304581335","23.449095405663325","23.05656479175336","14.887192585729768","14.887192585729768","14.250524454041164","13.374052294557238"
"young-sweep-657","1.2","false","1","3","3","10","uniform","1.6346560570140259e-7","0.935897435897436","0.7368421052631579","1","23.91470512428335","25.40856654808925","24.318919886222563","23.633487986295087","14.321448376623378","16.535355519480518","15.363219199134202","14.321448376623378"
"fancy-sweep-276","1.2","true","3","2","3","15","distance","1.9202644607894906e-7","0.935897435897436","0.7368421052631579","1","26.36465802370181","26.579324782802185","26.11630011023077","25.404917524188317","15.226664856543872","18.431542249598483","16.955816220895347","15.226664856543872"
"pious-sweep-66","1.2","true","2","3","2","15","distance","2.089669746530692e-7","0.8974358974358975","0.6363636363636364","1","24.364882840577177","24.367887852351178","24.366385346464178","24.364882840577177","14.868466207272338","16.106602125508406","15.487534166390372","14.868466207272338"
"sweet-sweep-176","1.2","true","1","4","3","5","distance","2.1315782285215493e-7","0.935897435897436","0.7368421052631579","1","25.51419143910796","26.221303297383727","25.69134671221329","25.33854540014818","16.244687507689694","17.165001857081954","16.308806478210993","15.516730069861332"
"fluent-sweep-873","1.2","false","2","3","4","10","uniform","1.845836716936194e-7","0.9102564102564102","0.6666666666666666","1","24.19579553056349","25.52635462492838","24.440604410636848","23.70875507574575","14.669586168831168","16.703378051948054","15.459885811688316","14.669586168831168"
"polished-sweep-557","1.2","false","2","4","2","15","uniform","2.125885309883163e-7","0.8974358974358975","0.6363636363636364","1","23.61535326993953","23.61535326993953","23.49549421096375","23.375635151987968","15.492480259740264","15.492480259740264","15.410354891774894","15.328229523809524"
"gentle-sweep-920","1.2","false","3","2","4","5","distance","2.633169412437534e-7","0.9102564102564102","0.6666666666666666","1","24.691716302955715","28.31779928807356","26.02973920545258","24.691716302955715","14.892722590860464","19.735698226508777","17.463328654330905","14.892722590860464"
"volcanic-sweep-772","1.2","false","3","4","3","10","distance","2.1667289293948977e-7","0.935897435897436","0.7368421052631579","1","24.060023304581335","24.060023304581335","23.449095405663325","23.05656479175336","14.887192585729768","14.887192585729768","14.250524454041164","13.374052294557238"
"classic-sweep-337","1.2","true","1","4","4","5","uniform","1.6948309059203994e-7","0.9102564102564102","0.6666666666666666","1","24.60556653333429","24.890382200841504","24.65532465039429","24.323470907429755","15.620234545454544","16.026092987012987","15.563398084415583","15.125765454545451"
"expert-sweep-68","1.2","true","2","4","2","5","distance","1.7177665256970917e-7","0.8974358974358975","0.6363636363636364","1","25.716330622491032","26.359480787231707","26.03790570486137","25.716330622491032","16.164594944868334","17.186352295975556","16.675473620421947","16.164594944868334"
"golden-sweep-178","1.2","true","1","4","3","10","distance","1.819460892453309e-7","0.935897435897436","0.7368421052631579","1","24.17579838940355","24.17579838940355","23.57965493644288","23.20288240727206","14.914447235954407","14.914447235954407","14.2666683271124","13.39354628639979"
"leafy-sweep-288","1.2","true","3","4","3","15","distance","1.800170499081509e-7","0.935897435897436","0.7368421052631579","1","23.13931479996088","23.194614157595744","23.12592718677776","23.04385260277666","14.71021998163624","14.904241200734573","14.304729042674412","13.299725945652426"
"fancy-sweep-70","1.2","true","2","4","2","10","distance","2.1814834181681266e-7","0.8974358974358975","0.6363636363636364","1","23.59121505110329","23.59121505110329","23.208695674134233","22.82617629716518","14.77110183761672","14.77110183761672","14.558854964479698","14.346608091342675"
"elated-sweep-119","1.2","true","3","3","2","15","uniform","1.8040818208798256e-7","0.8974358974358975","0.6363636363636364","1","24.168701426623493","24.82722312381428","24.497962275218885","24.168701426623493","14.365551818181816","17.08703238095238","15.726292099567097","14.365551818181816"
"dulcet-sweep-383","1.2","true","2","2","4","15","uniform","1.977654404976824e-7","0.9102564102564102","0.6666666666666666","1","23.67423464048492","25.65825953969914","24.69041318215176","23.67423464048492","14.01386735930736","17.35737805194805","16.008823246753245","14.01386735930736"
"eternal-sweep-17","1.2","true","1","4","2","15","uniform","1.6387004866222318e-7","0.8974358974358975","0.6363636363636364","1","23.28839012688599","23.68205780431881","23.4852239656024","23.28839012688599","15.559080346320352","15.6829983982684","15.621039372294376","15.559080346320352"
"crisp-sweep-173","1.2","true","1","3","3","15","uniform","1.543518163488342e-7","0.935897435897436","0.7368421052631579","1","23.30944063939784","25.286224625873047","24.15245219730347","23.30944063939784","14.372614588744588","16.812507142857143","15.99160616161616","14.372614588744588"
"electric-sweep-935","1.2","false","3","4","4","15","uniform","1.8363143889978853e-7","0.9102564102564102","0.6666666666666666","1","23.51037173908933","24.03243956875802","23.79716770554504","23.51037173908933","15.23650203463204","15.928687792207796","15.205666926406929","14.74393753246753"
"hardy-sweep-871","1.2","false","2","3","4","5","uniform","1.8735877269730537e-7","0.9102564102564102","0.6666666666666666","1","26.152953364184697","27.273562249092873","26.040792918907197","25.005081355918207","16.710826883116884","18.033765844155845","16.902138441558442","16.32913038961039"
"flowing-sweep-439","1.2","true","3","3","4","5","uniform","1.6114031465324136e-7","0.9102564102564102","0.6666666666666666","1","26.152953364184697","27.273562249092873","26.040792918907197","25.005081355918207","16.710826883116884","18.033765844155845","16.902138441558442","16.32913038961039"
"crisp-sweep-227","1.2","true","2","3","3","15","uniform","1.662373198658113e-7","0.935897435897436","0.7368421052631579","1","24.000906551244675","25.51033539500089","24.81543904888816","24.000906551244675","14.708721991341989","17.112318008658008","16.28186759018759","14.708721991341989"
"charmed-sweep-121","1.2","true","3","4","2","5","uniform","1.7786479901284718e-7","0.8974358974358975","0.6363636363636364","1","25.90071669978679","26.16609882343882","26.033407761612807","25.90071669978679","16.826693116883117","17.084593246753247","16.955643181818182","16.826693116883117"
"upbeat-sweep-768","1.2","false","3","3","3","15","distance","4.422414832045737e-7","0.935897435897436","0.7368421052631579","1","25.09021267534443","25.251005028067357","24.95617192515803","24.527298072062305","15.21240427406686","16.374863665486767","15.914302918116585","15.21240427406686"
"eternal-sweep-55","1.2","true","2","2","2","5","uniform","1.626454568112321e-7","0.8974358974358975","0.6363636363636364","1","27.1055428993051","28.8061568355908","27.955849867447952","27.1055428993051","16.774985324675324","21.231747272727276","19.0033662987013","16.774985324675324"
"soft-sweep-8","1.2","true","1","3","2","5","distance","2.2262281204158778e-7","0.8974358974358975","0.6363636363636364","1","27.388900207677597","27.388900207677597","26.54360708759704","25.698313967516487","18.59906042992565","18.59906042992565","17.86573835669352","17.132416283461392"
"dry-sweep-767","1.2","false","3","3","3","15","uniform","2.081109890448513e-7","0.935897435897436","0.7368421052631579","1","24.309909114953452","25.55777236768544","24.94983618641379","24.309909114953452","14.687208398268396","17.188801471861474","16.340745382395383","14.687208398268396"
"logical-sweep-492","1.2","false","1","2","2","15","distance","2.41629684720187e-7","0.8974358974358975","0.6363636363636364","1","26.447431390020572","26.447431390020572","26.12158947866373","25.795747567306883","15.42648319094126","17.692964266974695","16.559723728957977","15.42648319094126"
