"Name","Threshold","FlagCorrection","N_outlier_max","FilterOrder","Forecasting","Forgetting","Regularization","Energy_Consumed","accuracy","f1_score","recall","mae_pred","mae_max","mae_mean","mae_min","rmse_pred","rmse_max","rmse_mean","rmse_min"
"radiant-sweep-529","1.2","false","2","3","2","1","0.1","3.200935655993615e-8","0.8974358974358975","0.6363636363636364","1","8.117959090785677","15.212497150739852","11.665228120762764","8.117959090785677","21.31126796441683","23.78990021490285","22.550584089659843","21.31126796441683"
"magic-sweep-115","1.2","true","2","2","4","0.95","0.1","4.8873092166811856e-8","0.9102564102564102","0.6666666666666666","1","6.80252513879349","20.760589325151344","15.569697848411565","6.80252513879349","19.653412986985753","28.07643778949893","24.482095882490057","19.653412986985753"
"sweepy-sweep-820","1.2","false","2","4","2","0.95","1","3.005881519192776e-8","0.8974358974358975","0.6363636363636364","1","8.23538442949781","15.582867478319066","11.909125953908438","8.23538442949781","21.3578006332343","23.99838053343942","22.67809058333686","21.3578006332343"
"dutiful-sweep-778","1.2","true","1","4","4","0.99","1","4.318643275218568e-8","0.9102564102564102","0.6666666666666666","1","5.211246701318883","22.65032720240935","16.232430021677203","5.211246701318883","15.583356275779398","31.35379528502705","25.74671996609869","15.583356275779398"
"sparkling-sweep-280","1.2","false","2","2","4","0.95","1","4.4085306635679446e-8","0.9102564102564102","0.6666666666666666","1","7.529424609719585","20.09783587032796","15.453513727925404","7.529424609719585","20.984001197803757","27.16984444494012","24.370560981800395","20.984001197803757"
"silvery-sweep-265","1.2","false","3","2","3","1","0.1","3.427935667168135e-8","0.935897435897436","0.7368421052631579","1","7.598281391012666","20.15382676119657","14.101663585365126","7.598281391012666","20.97914933973405","27.18179296879357","23.861427754318225","20.97914933973405"
"effortless-sweep-868","1.2","false","1","4","3","0.95","1","3.8667818773142744e-8","0.935897435897436","0.7368421052631579","1","8.152872513183873","21.429422793604942","14.935804611656408","8.152872513183873","21.172275142823526","28.01118288115232","24.33064164619778","21.172275142823526"
"magic-sweep-220","1.2","false","1","2","3","0.95","1","3.7457561609370616e-8","0.935897435897436","0.7368421052631579","1","7.802325419636761","20.75915813839621","14.485798601217438","7.802325419636761","21.088349350049324","27.61453289279138","24.117346626023902","21.088349350049324"
"deft-sweep-742","1.2","true","1","4","3","1","1","3.865553189838364e-8","0.935897435897436","0.7368421052631579","1","5.829016316167643","22.50688788649126","14.748924454668517","5.829016316167643","15.818183373769036","31.21296506842842","24.68957208486466","15.818183373769036"
"stilted-sweep-232","1.2","false","3","2","3","0.95","1","3.4330551983177635e-8","0.935897435897436","0.7368421052631579","1","7.802325419636761","20.75915813839621","14.485798601217438","7.802325419636761","21.088349350049324","27.61453289279138","24.117346626023902","21.088349350049324"
